course_id,course_name,provider,primary_skill_id
C00126,Vision-oriented logistical alliance in Finally,Google,SK0163
C00127,Exclusive 6thgeneration utilization in Decision,AWS,SK0101
C00128,Balanced foreground function in Myself,Coursera,SK0155
C00129,Object-based needs-based leverage in Environment,Google,SK0010
C00130,Automated web-enabled project in Cut,Google,SK0183
C00131,Horizontal heuristic time-frame in Anyone,Coursera,SK0134
C00132,Streamlined full-range flexibility in Capital,LinkedIn Learning,SK0006
C00133,Multi-layered intermediate initiative in Six,Google,SK0258
C00134,Organic human-resource Graphical User Interface in Culture,Coursera,SK0211
C00135,Proactive system-worthy methodology in Hold,LinkedIn Learning,SK0051
C00136,Programmable encompassing website in Beautiful,Coursera,SK0147
C00137,Upgradable interactive artificial intelligence in Law,Coursera,SK0128
C00138,Robust contextually-based moratorium in Finally,Google,SK0258
C00139,Inverse bi-directional artificial intelligence in Generation,Microsoft,SK0051
C00140,Switchable explicit function in Like,Microsoft,SK0154
C00141,Robust transitional interface in Compare,AWS,SK0070
C00142,Team-oriented leadingedge hardware in Likely,Coursera,SK0276
C00143,Balanced upward-trending help-desk in Possible,AWS,SK0279
C00144,Optional even-keeled productivity in Strong,AWS,SK0134
C00145,Centralized asynchronous secured line in Public,AWS,SK0220
C00146,Open-architected high-level migration in Suddenly,AWS,SK0163
C00147,User-friendly systematic complexity in Allow,Internal,SK0136
C00148,Digitized real-time service-desk in Station,Google,SK0057
C00149,Organic 5thgeneration capacity in Audience,Google,SK0177
C00150,Front-line zero-defect project in Hit,Internal,SK0115
C00151,Multi-lateral human-resource open system in Alone,Coursera,SK0149
C00152,Robust coherent service-desk in Listen,Internal,SK0241
C00153,Multi-layered holistic intranet in Source,Coursera,SK0123
C00154,Compatible object-oriented challenge in Next,Microsoft,SK0292
C00155,Multi-lateral hybrid functionalities in Rate,Google,SK0069
C00156,Grass-roots dynamic budgetary management in Agree,Udemy,SK0063
C00157,User-centric contextually-based methodology in National,LinkedIn Learning,SK0221
C00158,Networked next generation capability in Everybody,Google,SK0016
C00159,Vision-oriented empowering strategy in Like,Internal,SK0078
C00160,Extended reciprocal forecast in Rule,Internal,SK0122
C00161,Pre-emptive dedicated capability in Central,Microsoft,SK0258
C00162,Compatible local conglomeration in Way,Internal,SK0217
C00163,Universal leadingedge array in Take,Coursera,SK0114
C00164,Synergized foreground secured line in Hand,Coursera,SK0146
C00165,Triple-buffered asymmetric neural-net in Occur,Udemy,SK0237
C00166,Implemented exuding complexity in Seek,Udemy,SK0086
C00167,Triple-buffered tangible productivity in Contain,Google,SK0167
C00168,Multi-lateral multimedia definition in Campaign,Udemy,SK0129
C00169,Exclusive client-driven encoding in Street,Coursera,SK0165
C00170,Proactive 4thgeneration hierarchy in Once,AWS,SK0277
C00171,Re-engineered holistic Local Area Network in Suggest,AWS,SK0257
C00172,Reactive clear-thinking pricing structure in Usually,Udemy,SK0132
C00173,Cross-group asymmetric function in Information,Udemy,SK0058
C00174,Universal uniform matrices in Never,Coursera,SK0257
C00175,Open-source zero administration installation in Than,Microsoft,SK0141
C00176,Re-engineered asynchronous capacity in Free,Google,SK0174
C00177,Stand-alone asynchronous knowledge user in Man,Internal,SK0175
C00178,Synergized multi-state hardware in Career,Google,SK0209
C00179,Vision-oriented neutral productivity in People,LinkedIn Learning,SK0204
C00180,Enterprise-wide zero administration capacity in Lead,AWS,SK0007
C00181,Profit-focused analyzing capability in National,AWS,SK0051
C00182,Distributed exuding concept in Color,Coursera,SK0259
C00183,Inverse tertiary definition in Half,Google,SK0178
C00184,Programmable executive artificial intelligence in Enough,Coursera,SK0031
C00185,Exclusive scalable neural-net in Face,LinkedIn Learning,SK0154
C00186,De-engineered responsive framework in Possible,Google,SK0055
C00187,Public-key background middleware in Put,LinkedIn Learning,SK0156
C00188,Down-sized optimizing paradigm in Class,Udemy,SK0044
C00189,Down-sized stable process improvement in Service,Google,SK0081
C00190,Robust global open system in Analysis,LinkedIn Learning,SK0166
C00191,Assimilated attitude-oriented analyzer in Put,Internal,SK0030
C00192,Visionary object-oriented firmware in Rather,Internal,SK0136
C00193,Expanded zero administration orchestration in Keep,AWS,SK0014
C00194,Secured scalable algorithm in Modern,Internal,SK0106
C00195,Self-enabling needs-based frame in Quality,Google,SK0075
C00196,Innovative mission-critical encryption in Support,Internal,SK0079
C00197,Synergized impactful framework in Long,Internal,SK0194
C00198,Compatible system-worthy approach in Coach,Udemy,SK0096
C00199,Organic intangible matrices in Majority,AWS,SK0040
C00200,Expanded global portal in Charge,Coursera,SK0256
C00201,Intuitive transitional functionalities in Similar,AWS,SK0107
C00202,Monitored impactful capacity in Soon,AWS,SK0017
C00203,Multi-layered multimedia open architecture in Born,AWS,SK0015
C00204,Intuitive disintermediate Local Area Network in Can,LinkedIn Learning,SK0272
C00205,Future-proofed local encryption in Chance,Coursera,SK0013
C00206,Cross-platform actuating frame in Young,LinkedIn Learning,SK0247
C00207,Networked reciprocal instruction set in Energy,Udemy,SK0214
C00208,Diverse fresh-thinking orchestration in Set,Udemy,SK0151
C00209,Intuitive content-based task-force in Collection,Microsoft,SK0292
C00210,Proactive multimedia Local Area Network in Moment,Microsoft,SK0043
C00211,Integrated modular adapter in Believe,Udemy,SK0114
C00212,Object-based motivating knowledgebase in Effect,Udemy,SK0081
C00213,Extended optimal help-desk in Anything,LinkedIn Learning,SK0141
C00214,Business-focused executive methodology in Picture,Udemy,SK0030
C00215,Streamlined systematic leverage in Feeling,Google,SK0030
C00216,Public-key 24/7 benchmark in Lawyer,Coursera,SK0266
C00217,Devolved empowering superstructure in History,LinkedIn Learning,SK0099
C00218,Virtual impactful hierarchy in Answer,Udemy,SK0094
C00219,Open-architected actuating open system in Or,LinkedIn Learning,SK0211
C00220,Ergonomic high-level neural-net in Fight,LinkedIn Learning,SK0295
C00221,Compatible human-resource middleware in Little,Internal,SK0037
C00222,Virtual neutral focus group in That,Microsoft,SK0089
C00223,Secured systemic pricing structure in By,LinkedIn Learning,SK0255
C00224,De-engineered bandwidth-monitored infrastructure in Hour,AWS,SK0214
C00225,Mandatory next generation hierarchy in Someone,Google,SK0014
C00226,Digitized dedicated portal in Mr,Google,SK0192
C00227,Open-architected motivating analyzer in Answer,LinkedIn Learning,SK0295
C00228,Automated client-driven structure in Goal,AWS,SK0182
C00229,Phased multi-state knowledgebase in Church,Google,SK0130
C00230,Robust multimedia challenge in Generation,Internal,SK0224
C00231,Seamless foreground complexity in Increase,Udemy,SK0043
C00232,Seamless user-facing framework in Personal,LinkedIn Learning,SK0181
C00233,Mandatory motivating migration in No,Internal,SK0169
C00234,Pre-emptive tertiary open system in Firm,Coursera,SK0264
C00235,Phased 3rdgeneration hub in Glass,Internal,SK0096
C00236,Synergistic bifurcated instruction set in Past,Microsoft,SK0203
C00237,Integrated uniform solution in Professional,Microsoft,SK0068
C00238,Assimilated radical leverage in Evidence,Udemy,SK0092
C00239,Streamlined zero tolerance time-frame in Particular,AWS,SK0266
C00240,Re-engineered discrete success in Approach,Udemy,SK0178
C00241,Reduced mission-critical concept in Need,Google,SK0151
C00242,Self-enabling uniform process improvement in Stage,AWS,SK0047
C00243,Multi-tiered client-server software in Eight,AWS,SK0003
C00244,Automated object-oriented standardization in Break,AWS,SK0103
C00245,Ergonomic 3rdgeneration intranet in Former,AWS,SK0273
C00246,Operative coherent installation in Rock,Microsoft,SK0022
C00247,Expanded incremental middleware in Stage,Google,SK0116
C00248,Seamless methodical support in Short,Microsoft,SK0104
C00249,Centralized tertiary challenge in Natural,LinkedIn Learning,SK0259
C00250,Expanded next generation Graphic Interface in Recognize,Google,SK0298
C00251,Polarized multi-tasking implementation in Former,Microsoft,SK0130
C00252,Enhanced logistical monitoring in Guess,Udemy,SK0295
C00253,Quality-focused heuristic service-desk in Sport,Microsoft,SK0048
C00254,Up-sized systemic project in Suggest,Google,SK0027
C00255,Team-oriented empowering pricing structure in Member,Google,SK0015
C00256,Ergonomic dynamic focus group in Open,Udemy,SK0263
C00257,Innovative directional framework in Spend,Coursera,SK0298
C00258,Horizontal tertiary database in Road,Google,SK0265
C00259,Triple-buffered mobile functionalities in Media,Microsoft,SK0134
C00260,Monitored next generation utilization in Set,Udemy,SK0076
C00261,Grass-roots executive capability in Painting,AWS,SK0030
C00262,Synergistic needs-based implementation in War,Google,SK0126
C00263,Object-based grid-enabled throughput in Summer,Internal,SK0084
C00264,Digitized explicit analyzer in Field,AWS,SK0054
C00265,Universal attitude-oriented hardware in Window,LinkedIn Learning,SK0283
C00266,Organic solution-oriented extranet in Small,Google,SK0263
C00267,Polarized didactic customer loyalty in Their,Udemy,SK0222
C00268,Public-key encompassing open architecture in Safe,AWS,SK0002
C00269,Future-proofed client-driven benchmark in Power,Microsoft,SK0146
C00270,User-centric optimizing encoding in Eight,Microsoft,SK0018
C00271,Business-focused static moderator in Draw,Google,SK0016
C00272,Sharable discrete application in Black,Coursera,SK0159
C00273,Open-source full-range structure in Marriage,Internal,SK0298
C00274,Cross-platform systemic throughput in Certain,Google,SK0209
C00275,Adaptive neutral complexity in Investment,Udemy,SK0205
C00276,Streamlined methodical matrices in Rather,AWS,SK0113
C00277,Exclusive web-enabled forecast in Full,Internal,SK0178
C00278,Horizontal secondary approach in Whatever,Coursera,SK0209
C00279,Visionary background projection in Painting,Google,SK0124
C00280,Focused national support in Several,LinkedIn Learning,SK0015
C00281,Automated context-sensitive instruction set in Us,Internal,SK0298
C00282,Enhanced 5thgeneration infrastructure in Store,Coursera,SK0045
C00283,Proactive contextually-based synergy in Turn,Google,SK0094
C00284,Implemented 5thgeneration access in Fire,Google,SK0107
C00285,Re-contextualized real-time benchmark in Without,Udemy,SK0278
C00286,Managed executive knowledgebase in Put,Google,SK0128
C00287,Quality-focused multi-tasking methodology in Visit,LinkedIn Learning,SK0038
C00288,Devolved motivating Local Area Network in Explain,Google,SK0097
C00289,Ergonomic bifurcated groupware in Commercial,Microsoft,SK0198
C00290,Upgradable logistical project in Even,Coursera,SK0192
C00291,Universal contextually-based access in Since,Microsoft,SK0007
C00292,Mandatory explicit open system in Represent,Google,SK0044
C00293,Versatile content-based conglomeration in Popular,LinkedIn Learning,SK0007
C00294,Sharable impactful interface in Myself,Coursera,SK0194
C00295,Inverse background initiative in Relationship,Coursera,SK0001
C00296,Cross-platform contextually-based challenge in Me,Google,SK0062
C00297,Inverse dynamic ability in Every,LinkedIn Learning,SK0089
C00298,Networked disintermediate knowledge user in Some,Udemy,SK0018
C00299,Future-proofed full-range framework in Pass,Coursera,SK0108
C00300,Up-sized object-oriented access in Every,LinkedIn Learning,SK0135
C00301,Streamlined high-level solution in Eat,Internal,SK0067
C00302,Centralized static capability in Make,Microsoft,SK0093
C00303,Integrated cohesive initiative in Rich,Coursera,SK0138
C00304,Profit-focused tertiary throughput in Foreign,Internal,SK0189
C00305,Team-oriented bottom-line productivity in Whom,Coursera,SK0059
C00306,Implemented holistic pricing structure in Do,Udemy,SK0187
C00307,Face-to-face client-driven matrices in Claim,Google,SK0235
C00308,Persevering value-added portal in Hour,LinkedIn Learning,SK0069
C00309,Operative tangible neural-net in While,Coursera,SK0098
C00310,Phased web-enabled monitoring in Suffer,LinkedIn Learning,SK0008
C00311,Synchronized didactic task-force in End,AWS,SK0134
C00312,Synergized web-enabled policy in Tv,Coursera,SK0056
C00313,Configurable multi-tasking knowledge user in News,Udemy,SK0114
C00314,Triple-buffered high-level archive in Whose,Udemy,SK0088
C00315,Re-contextualized bifurcated approach in Them,Google,SK0138
C00316,Reactive motivating customer loyalty in Page,Google,SK0108
C00317,Public-key coherent concept in Generation,Internal,SK0023
C00318,Programmable leadingedge budgetary management in Response,Udemy,SK0144
C00319,Expanded transitional paradigm in Middle,LinkedIn Learning,SK0144
C00320,Cross-group multimedia knowledge user in Table,AWS,SK0056
C00321,Centralized logistical capacity in Must,Udemy,SK0108
C00322,Operative logistical open system in Article,Coursera,SK0006
C00323,Realigned maximized service-desk in Surface,Udemy,SK0030
C00324,Integrated uniform adapter in Individual,AWS,SK0127
C00325,Function-based 24hour synergy in Discover,LinkedIn Learning,SK0121
C00326,Reduced asynchronous analyzer in Land,Coursera,SK0099
C00327,Monitored tangible architecture in Number,Internal,SK0166
C00328,Centralized asymmetric leverage in Almost,Internal,SK0241
C00329,Horizontal incremental contingency in Specific,Internal,SK0050
C00330,Devolved zero administration project in Shoulder,Google,SK0268
C00331,Stand-alone intangible hub in Vote,Coursera,SK0073
C00332,Multi-tiered local implementation in How,Internal,SK0300
C00333,Configurable systemic protocol in Two,Google,SK0052
C00334,Quality-focused client-driven projection in Trade,Udemy,SK0265
C00335,Monitored bottom-line conglomeration in Note,Coursera,SK0227
C00336,Object-based multi-tasking capacity in Should,Coursera,SK0193
C00337,Face-to-face 24hour system engine in Agency,Coursera,SK0239
C00338,Innovative maximized service-desk in Serve,Microsoft,SK0010
C00339,Quality-focused interactive monitoring in Hundred,Google,SK0228
C00340,Focused dynamic knowledgebase in Half,LinkedIn Learning,SK0293
C00341,Distributed even-keeled core in Write,Microsoft,SK0052
C00342,Up-sized well-modulated budgetary management in Almost,Microsoft,SK0240
C00343,Switchable intangible pricing structure in Space,Microsoft,SK0099
C00344,Ameliorated disintermediate database in Audience,LinkedIn Learning,SK0081
C00345,Cross-platform radical alliance in Likely,Microsoft,SK0013
C00346,Right-sized systematic strategy in Turn,Internal,SK0128
C00347,Business-focused dynamic support in Another,Coursera,SK0011
C00348,Open-architected leadingedge emulation in Notice,Coursera,SK0081
C00349,Extended web-enabled time-frame in Arrive,Google,SK0261
C00350,Devolved motivating frame in East,Udemy,SK0006
C00351,Upgradable object-oriented functionalities in Participant,AWS,SK0222
C00352,Right-sized zero administration service-desk in Tell,Internal,SK0298
C00353,Inverse disintermediate framework in Under,LinkedIn Learning,SK0081
C00354,Digitized stable model in Do,AWS,SK0003
C00355,Open-source exuding focus group in Ask,Coursera,SK0060
C00356,Realigned optimizing support in Which,Microsoft,SK0221
C00357,Enhanced responsive service-desk in Late,Google,SK0049
C00358,Realigned modular application in Guy,Google,SK0228
C00359,Stand-alone static implementation in Stock,Udemy,SK0290
C00360,Progressive foreground standardization in Keep,Udemy,SK0293
C00361,Open-source coherent framework in However,Coursera,SK0298
C00362,Enterprise-wide web-enabled monitoring in Material,Internal,SK0193
C00363,Front-line directional framework in Toward,Google,SK0257
C00364,Triple-buffered client-server workforce in Major,AWS,SK0103
C00365,Centralized next generation installation in Keep,Udemy,SK0146
C00366,Realigned multi-tasking challenge in Important,Coursera,SK0290
C00367,Fully-configurable eco-centric database in Give,Internal,SK0257
C00368,Stand-alone attitude-oriented knowledge user in Throw,Coursera,SK0278
C00369,Multi-layered background monitoring in Shake,Coursera,SK0189
C00370,Ergonomic actuating flexibility in Huge,Internal,SK0178
C00371,Synergistic real-time portal in Among,Internal,SK0016
C00372,Compatible content-based website in Sort,Internal,SK0086
C00373,Reverse-engineered uniform secured line in Operation,Coursera,SK0248
C00374,Extended mission-critical database in True,Udemy,SK0217
C00375,Managed exuding access in Development,LinkedIn Learning,SK0042
C00376,Ergonomic user-facing capability in Skin,LinkedIn Learning,SK0194
C00377,Versatile mission-critical encryption in Safe,Coursera,SK0163
C00378,Robust tertiary database in Industry,Coursera,SK0276
C00379,Front-line neutral Graphic Interface in Stand,Udemy,SK0130
C00380,Horizontal homogeneous Local Area Network in None,Internal,SK0263
C00381,Streamlined heuristic function in Every,Coursera,SK0177
C00382,Multi-lateral multimedia methodology in Man,Google,SK0265
C00383,Cross-platform uniform leverage in Sort,Microsoft,SK0027
C00384,Intuitive demand-driven hub in Form,Internal,SK0085
C00385,Open-source 6thgeneration open system in Treat,Google,SK0196
C00386,Face-to-face user-facing circuit in Admit,Coursera,SK0243
C00387,Fundamental neutral paradigm in Particularly,Microsoft,SK0177
C00388,Up-sized intangible frame in Claim,Google,SK0130
C00389,Exclusive full-range emulation in Hundred,AWS,SK0145
C00390,Re-contextualized dynamic methodology in Oil,Udemy,SK0083
C00391,Streamlined systemic Graphical User Interface in Even,Microsoft,SK0088
C00392,Virtual mobile success in Quality,Coursera,SK0020
C00393,User-centric mobile knowledgebase in Concern,LinkedIn Learning,SK0230
C00394,Upgradable heuristic concept in Challenge,Google,SK0126
C00395,Up-sized needs-based matrix in Create,Coursera,SK0051
C00396,Quality-focused secondary approach in Need,LinkedIn Learning,SK0088
C00397,Automated asynchronous secured line in Anything,Udemy,SK0170
C00398,Virtual 24hour installation in Certain,Udemy,SK0063
C00399,Self-enabling discrete architecture in Second,Internal,SK0089
C00400,Distributed 24/7 data-warehouse in Mouth,Google,SK0189
C00401,Persevering holistic approach in Prepare,Internal,SK0190
C00402,Sharable static pricing structure in While,LinkedIn Learning,SK0089
C00403,Polarized stable matrix in Admit,LinkedIn Learning,SK0026
C00404,Adaptive national neural-net in Its,Udemy,SK0176
C00405,Advanced 3rdgeneration moderator in Seven,Microsoft,SK0264
C00406,Grass-roots national forecast in Adult,LinkedIn Learning,SK0042
C00407,Profit-focused tangible service-desk in Law,LinkedIn Learning,SK0119
C00408,Enhanced bi-directional attitude in Need,Google,SK0169
C00409,Distributed disintermediate core in President,Microsoft,SK0108
C00410,Progressive eco-centric help-desk in Example,Internal,SK0147
C00411,Object-based attitude-oriented hub in Into,Internal,SK0176
C00412,Persevering non-volatile encryption in Same,LinkedIn Learning,SK0189
C00413,Face-to-face exuding software in Their,Google,SK0160
C00414,Configurable solution-oriented projection in Song,Internal,SK0074
C00415,Automated background initiative in Hundred,Internal,SK0018
C00416,Multi-tiered neutral leverage in Arrive,AWS,SK0140
C00417,Sharable 24/7 standardization in Congress,Google,SK0115
C00418,Configurable modular Internet solution in Quite,Internal,SK0225
C00419,Managed non-volatile attitude in Want,Udemy,SK0046
C00420,Progressive 6thgeneration emulation in Development,Coursera,SK0038
C00421,Team-oriented non-volatile leverage in Experience,LinkedIn Learning,SK0206
C00422,Balanced asynchronous software in Wish,LinkedIn Learning,SK0009
C00423,Grass-roots needs-based open system in Really,Udemy,SK0253
C00424,Automated context-sensitive functionalities in Admit,Coursera,SK0108
C00425,Expanded optimizing circuit in Soldier,Coursera,SK0098
C00426,Universal hybrid archive in Firm,Udemy,SK0275
C00427,Diverse non-volatile encoding in Our,Microsoft,SK0071
C00428,Networked systematic moratorium in Glass,Microsoft,SK0039
C00429,Networked web-enabled support in Challenge,Coursera,SK0298
C00430,Team-oriented uniform artificial intelligence in Month,Microsoft,SK0090
C00431,User-friendly grid-enabled application in Billion,Microsoft,SK0219
C00432,Optional discrete archive in Grow,Microsoft,SK0107
C00433,Robust zero administration pricing structure in Physical,Coursera,SK0096
C00434,Object-based zero-defect Graphic Interface in All,Microsoft,SK0032
C00435,Sharable encompassing toolset in Little,LinkedIn Learning,SK0126
C00436,Pre-emptive discrete help-desk in On,AWS,SK0147
C00437,Multi-tiered intermediate contingency in Response,Coursera,SK0280
C00438,Reduced stable implementation in Bed,Udemy,SK0024
C00439,Visionary regional frame in Success,Microsoft,SK0209
C00440,Fully-configurable transitional archive in Beautiful,Internal,SK0120
C00441,Future-proofed coherent implementation in Seek,Coursera,SK0274
C00442,Sharable coherent support in Improve,Google,SK0140
C00443,Intuitive high-level benchmark in Benefit,Udemy,SK0297
C00444,Adaptive fault-tolerant intranet in Here,AWS,SK0082
C00445,Virtual encompassing benchmark in Cause,LinkedIn Learning,SK0208
C00446,Cross-group contextually-based Internet solution in List,Google,SK0033
C00447,Realigned next generation migration in Involve,Udemy,SK0024
C00448,Customer-focused 4thgeneration array in Health,Microsoft,SK0061
C00449,Reactive background policy in Piece,Internal,SK0189
C00450,Inverse human-resource access in Film,Microsoft,SK0084
C00451,Open-source human-resource time-frame in Become,Udemy,SK0225
C00452,Up-sized next generation encryption in Owner,Coursera,SK0168
C00453,Programmable composite software in Husband,Google,SK0186
C00454,Down-sized client-driven flexibility in Fish,Internal,SK0072
C00455,Future-proofed modular circuit in At,Google,SK0074
C00456,Down-sized intermediate focus group in Know,Google,SK0153
C00457,Innovative mission-critical toolset in Ball,Internal,SK0096
